# index, vids, hemisphere, homologue, cell_type, annotations, cluster, _pos
797,7582489,left,7977834,LHN,no official annotation,53,"array([0.58339322, 0.84663708])"
798,7388340,left,15606239,pre-DN-SEZ,no official annotation,66,"array([0.64712592, 0.83745687])"
799,12293334,,-1,,,0,"array([0.64990243, 0.85976328])"
800,13395814,left,17756162,pre-DN-SEZ,no official annotation,56,"array([0.64283707, 0.86744822])"
801,5091874,left,9287906,MB-FBN,FB2N-15,66,"array([0.63329323, 0.85311646])"
802,17361757,left,12813847,LHN,CN-27,47,"array([0.63976851, 0.8081862 ])"
803,5675990,left,15688523,pre-DN-VNC,no official annotation,58,"array([0.63836215, 0.79718748])"
804,1591270,right,15718981,pre-DN-VNC,no official annotation,31,"array([0.62231163, 0.83128897])"
805,7168356,left,11714576,pre-DN-VNC,no official annotation,22,"array([0.62927309, 0.87008796])"
806,8238322,left,11210000,LHN,LHN-2,41,"array([0.61306625, 0.8644872 ])"
807,12425856,left,13173311,PN,gustatory-pharyngeal 2nd_order PN,38,"array([0.62717653, 0.8887647 ])"
808,4260935,left,3756659,PN,Thermo PN 5; tPN; thermo-cold 2nd_order PN,28,"array([0.57504821, 0.8685073 ])"
809,9408003,,-1,,,0,"array([0.64244669, 0.8607616 ])"
810,8245692,right,7873135,PN,42b PN; uPN; olfactory 2nd_order PN,12,"array([0.5748539 , 0.85881823])"
811,15997645,left,15592696,sensory,gustatory-pharyngeal,4,"array([0.58778428, 0.92863369])"
812,4991243,left,8227502,DN-SEZ,no official annotation,4,"array([0.56594635, 0.93294862])"
813,3054101,left,3199456,sensory,gustatory-pharyngeal,3,"array([0.57039593, 0.93397228])"
814,15996518,left,3795498,sensory,gustatory-pharyngeal,5,"array([0.61077653, 0.94954325])"
815,16850888,right,-1,KC,KC,30,"array([0.55538022, 0.82052848])"
816,5836035,right,-1,KC,KC,30,"array([0.55415374, 0.82346063])"
817,3486381,left,8244723,PN,42a PN; uPN; olfactory 2nd_order PN,12,"array([0.56560513, 0.84301608])"
818,8480221,left,4324898,PN,mPN; mPN seahorse; mPN; olfactory 2nd_order PN,22,"array([0.6054393 , 0.86074019])"
819,15716701,left,15556868,sensory,gustatory-external,3,"array([0.56254201, 0.90308639])"
820,8177991,left,-1,KC,KC,33,"array([0.5370069 , 0.79544666])"
821,8262302,left,5051342,KC,KC,30,"array([0.5594213 , 0.79172286])"
822,20443571,right,16422727,pre-DN-VNC,no official annotation,71,"array([0.66687185, 0.79606557])"
823,15633329,,-1,,,0,"array([0.65965847, 0.84045832])"
824,17038587,left,8065771,LHN,CN-29,47,"array([0.64533763, 0.81632578])"
825,16070049,right,12476851,LHN,CN-1,32,"array([0.61090413, 0.85917277])"
